PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA
322,"FLECHE 1 - PONT VICTORIA","GC-F-2"
323,"FLECHE 3 - PONT VICTORIA","GC-F-3"
327,"RUE HOGAN FLECHE A","GC-H-3"
328,"FLECHE 3 - CENTRE - ST-PATRICK","GC-K"
333,"RUE ONTARIO, TOUT DROIT, A DROITE","GC-OO-13"
336,"FLECHE 2 - PARC ANGRIGNON","GC-Q-1"
338,"FLECHE 3 - PARC ANGRIGNON","GC-Q-3"
341,"FLECHE 1 - SORTIE","GC-R-3"
343,"FLECHE 3 - SORTIE","GC-R-5"
350,"RUE SHERBROOKE FLECHE A GAUCHE","GC-SH-12"
351,"FLECHE 2 - BOUL. ST-LAURENT","GC-SL-*"
355,"SECURITE INCENDIE (4040, AV. DU PARC)","GC-U-1"
356,"FLECHE 3 - CIMETIERE MONT-ROYAL","GC-V"
357,"FLECHE 2 - VERDUN","GC-X"
360,"FLECHE 3 - VERDUN","GC-X-04"
366,"FLECHE 2 - AV. DE L'EGLISE","GC-X-10"
373,"FLECHE 3 - SITE HISTORIQUE - MAISON ST-GABRIEL","GC-Z-05"
384,"FLECHE 1 - MONTREAL","GC-Z-17"
394,"FLECHE 3 - RUE SHERBROOKE, BOUL. PIE IX","GC-Z-45"
405,"FLECHE 12 - BOUL. LAURENTIEN","GC-Z-56"
413,"FLECHE 2 - RUE ST-JACQUES","GC-Z-64"
414,"FLECHE 3 - RUE ST-JACQUES","GC-Z-64A"
415,"FLECHE 1 - RUE ST-JACQUES","GC-Z-64B"
425,"FLECHE 3 - BOUL. TRICENTENAIRE","GC-Z-74"
433,"FLECHE 2 - 669 ET 755 EST, BOUL. HENRI-BOURASSA","GC-Z-81-1"
434,"669 ET 755 EST, BOUL. HENRI-BOURASSA, FLECHE 3","GC-Z-81-2"
447,"RUE UNIVERSITY NORD, VIA MANSFIELD, FLECHE 1","GC-Z-92"
450,"FLECHE 12, RUE UNIVERSITY NORD","GC-Z-95"
451,"FL. 4 MARCHE ATWATER - VOIE DE GAUCHE","GC-Z-96"
453,"CHEMIN QUEEN MARY, OUEST, FLECHE 5","GD-A"
455,"RUE JARRY EST - * SELON DIR. FLECHES","GD-AB-*"
456,"669 A 755 EST HENRI-BOURASSA (VIA RUE MILLEN)","GD-AC-*"
458,"BOUL. HENRI-BOURASSA - * SELON FLECHE","GD-AE-*"
461,"RUE LACORDAIRE NORD=FLECHE 2, SUD=FLECHE 3","GD-AH"
462,"BOUL. ROBERT EST   * = FLECHE","GD-AI-*"
463,"RUE ST-URBAIN, SUD, FLECHE 3","GD-B"
465,"BOUL. ST-LAURENT, FLECHE 2, NORD","GD-C"
473,"ROUTE 40, EST, FLECHE 5, BOUL. METROPOLITAIN","GD-F-2"
475,"RUE SHERBROOKE, FLECHE 2, EST","GD-G"
476,"RUE SHERBROOKE, EST, FLECHE 3","GD-G-1"
478,"METROPOLITAIN, EST, FLECHE 3","GD-I"
479,"BOUL. ST-LAURENT, FLECHE 2, SUD","GD-J"
484,"BOUL. ST-LAURENT, NORD, FLECHE 5","GD-O"
485,"FL. 2, RUE SHERBROOKE, EST - FL. 2, BOUL PIE IX","GD-P"
486,"BOUL.GOUIN, FLECHE 2, EST","GD-Q"
487,"PONT LACHAPELLE, FLECHE 2, NORD","GD-R"
489,"CLARK, FLECHE 2, SUD","GD-T"
490,"CLARK, SUD, FLECHE 5","GD-U"
491,"BOUL. DE L'ACADIE, FLECHE 4, SUD - NORD, FLECHE 5","GD-V"
492,"FLECHE 4, AV. DU MONT-ROYAL - CH. COTE-DES-NEIGES","GE-A"
493,"RUE SHERBROOKE, FLECHE 1 - RUE RACHEL, FLECHE 5","GE-AA"
494,"AV. LOUIS-HEBERT, RUE CHAPLEAU, FLECHE AU CHOIX","GE-AB-*"
495,"FLECHE 1, RUE JARRY - VOIE LOCALE (RUE JARRY), FL.5","GE-AC"
496,"FLECHE 4, CH. COTE-DES-NEIGES - AV. DU MONT-ROYAL, FLEC","GE-B"
497,"FLECHE 4, CH. COTE-DES-NEIGES - AV. DU MONT-ROYAL, FLEC","GE-B-1"
498,"FLECHE 2, AV. DU MONT-ROYAL - CH. COTE-DES-NEIGES","GE-B-2"
499,"FLECHE 4, RUE HOCHELAGA - RUE SHERBROOKE","GE-C-1"
500,"FLECHE 4, JARRY - CREMAZIE, FLECHE 5","GE-D"
501,"FLECHE 4, AV. DES PINS - AV. DU PARC, FLECHE 5","GE-F"
502,"FLECHE 4, Q.G. INCENDIE - AV. DU PARC, FLECHE 5","GE-G"
506,"FLECHE 4, UPPER LACHINE - ST-JACQUES, FLECHE 5","GE-L"
507,"FL. 2, UPPER LACHINE, ST-JACQUES","GE-LA-2"
512,"CHERRIER OUEST FLECHE 4, EST FLECHE 5 - SHERBROOKE FLEC","GE-O"
514,"RUE ST-PATRICK, RUE CENTRE FL.3","GE-QA"
516,"RUE NOTRE-DAME FL.2 - PONT VICTORIA FL.1","GE-QC"
517,"BL. MONK FL.3 - DE LA VERENDRYE FL.1","GE-QD"
520,"PONT CHAMPLAIN, VERDUN FL.2","GE-QG"
525,"9021A9121 ET 9020A9200 FL.2 - 9027A9237ET9036A9156 FL.3","GE-QL"
526,"9027A9237 ET 9036A9156 FL.2 - 9021A9121ET9020A9200 FL.3","GE-QM"
527,"FLECHE 4, SHERBROOKE  -  FLECHE 5, H.-BOURASSA","GE-QN"
528,"FLECHE 4, UNIVERSITE DE MONTREAL - SUD + OUEST, FLECHE","GE-R"
531,"FLECHE 1, UNIVERSITE DE MONTREAL - FLECHE 2 EST + NORD","GE-S-1"
532,"FL. 4, ROUTES 10,15,20, PONT CHAMP.-ROUTES 20,132,134 P","GE-T-08"
541,"ROUTES 10, 15, 20, PONT CHAMPLAIN, FLECHE 2","GE-T-17"
543,"ROUTES 10, 15, 20, PONT CHAMPLAIN, FLECHE 3","GE-T-19"
550,"FLECHE 4, SHERBROOKE - CHERRIER, FLECHE 5","GE-Y"
554,"FLECHE 1, VERDUN - AV. DE L`EGLISE, FLECHE 3","GE-Z-03"
556,"FLECHE 4, RUE JARRY - FLECHE 4, BOUL. CREMAZIE","GE-Z-05"
557,"FLECHE 4, EST + SUD - AV. DES PINS, OUEST, FLECHE 5","GF-A"
563,"FLECHE 2, CLARK, SUD - ST-URBAIN, FLECHE 1","GF-G"
570,"FLECHE 4, PONT JACQUES-CARTIER - SUD + EST, FLECHE 1","GG-F"
571,"FLECHE 1, PONT JACQUES-CARTIER - EST + SUD, FLECHE 3","GG-F-01"
572,"FLECHE 2, NORD + OUEST - PONT JACQUES-CARTIER, FLECHE 5","GG-F-02"
575,"FL.1, RUE GUY - STE-CATHERINE, RENE-LEVESQUE, FLECHE 5","GG-I"
577,"TUNNEL WELLINGTON, RUE ST-PATRICK FL.2-RUE ATWATER FL.1","GG-KA"
578,"TUNNEL WELLINGTON, RUE ST-PATRICK FL.1-RUE ATWATER FL.3","GG-KB"
579,"RUE WELLINGTON, RUE ST-PATRICK, PONT VICTORIA FL.1","GG-KC"
